ID,年齢,性別,拠点,回答有無,入社からの日数,コンディション,自由記述,登録日時
UID0026,27,女性,拠点F,あり,106,不調,キャリアアップを目指したい,2025-03-25
UID0027,54,男性,拠点B,なし,1385,好調,やりがいを感じる,2025-03-02
UID0028,27,女性,拠点C,あり,1150,やや不調,,2025-03-23
UID0029,29,男性,拠点F,あり,49,やや不調,,2025-03-22
UID0030,26,女性,拠点B,あり,310,不調,業務が忙しい,2025-03-17
UID0031,59,男性,拠点A,あり,247,不調,評価制度に不満がある,2025-03-20
UID0032,32,女性,拠点D,あり,443,やや不調,,2025-03-10
UID0033,30,男性,拠点B,あり,455,不調,人間関係に悩んでいる,2025-03-08
UID0034,20,男性,拠点F,あり,256,不調,チームの雰囲気が良い,2025-03-03
UID0035,52,男性,拠点F,あり,1882,やや不調,評価制度に不満がある,2025-03-15
UID0036,38,女性,拠点C,あり,1695,普通,やりがいを感じる,2025-03-28
UID0037,38,女性,拠点D,あり,902,好調,業務が忙しい,2025-03-28
UID0038,22,男性,拠点D,あり,1355,普通,人間関係に悩んでいる,2025-03-12
UID0039,48,女性,拠点F,あり,1699,やや不調,チームの雰囲気が良い,2025-03-04
UID0040,45,女性,拠点C,あり,819,不調,,2025-03-21
UID0041,30,男性,拠点G,あり,150,普通,業務が忙しい,2025-03-14
UID0042,57,女性,拠点D,あり,927,普通,,2025-03-25
UID0043,42,男性,拠点D,あり,1747,普通,,2025-03-16
UID0044,27,女性,拠点C,あり,565,やや不調,やりがいを感じる,2025-03-23
UID0045,53,男性,拠点F,なし,1093,好調,,2025-03-22
UID0046,35,女性,拠点A,あり,1343,不調,チームの雰囲気が良い,2025-03-27
UID0047,55,男性,拠点E,あり,351,不調,,2025-03-28
UID0048,30,男性,拠点D,あり,523,やや不調,キャリアアップを目指したい,2025-03-02
UID0049,52,男性,拠点B,あり,855,普通,業務が忙しい,2025-03-15
UID0050,48,女性,拠点E,なし,945,やや不調,業務が忙しい,2025-03-16
UID0051,21,男性,拠点C,あり,1171,好調,業務が忙しい,2025-03-26
UID0052,58,女性,拠点B,あり,1370,不調,人間関係に悩んでいる,2025-03-12
UID0053,23,男性,拠点D,あり,1177,不調,人間関係に悩んでいる,2025-03-23
UID0054,48,男性,拠点E,あり,484,好調,人間関係に悩んでいる,2025-03-12
UID0055,60,女性,拠点B,あり,1467,好調,やりがいを感じる,2025-03-06
UID0056,51,男性,拠点D,あり,1507,不調,業務が忙しい,2025-03-09
UID0057,59,男性,拠点G,あり,1775,不調,評価制度に不満がある,2025-03-15
UID0058,32,女性,拠点E,あり,125,好調,,2025-03-15
UID0059,57,男性,拠点C,あり,1537,好調,,2025-03-14
UID0060,57,女性,拠点B,あり,1894,普通,チームの雰囲気が良い,2025-03-24
UID0061,28,男性,拠点C,あり,1271,やや不調,,2025-03-13
UID0062,46,男性,拠点A,あり,732,やや不調,,2025-03-26
UID0063,28,男性,拠点C,あり,1845,やや不調,,2025-03-28
UID0064,40,男性,拠点G,あり,1493,やや不調,人間関係に悩んでいる,2025-03-22
UID0065,28,男性,拠点B,あり,1334,やや不調,業務が忙しい,2025-03-25
UID0066,42,女性,拠点B,あり,1396,不調,,2025-03-10
UID0067,47,男性,拠点B,あり,810,普通,やりがいを感じる,2025-03-22
UID0068,23,男性,拠点A,あり,359,やや不調,キャリアアップを目指したい,2025-03-05
UID0069,23,女性,拠点G,あり,96,やや不調,,2025-03-04
UID0070,59,男性,拠点F,あり,826,普通,,2025-03-26
UID0071,38,男性,拠点C,あり,1989,やや不調,,2025-03-02
UID0072,20,女性,拠点G,あり,1629,不調,評価制度に不満がある,2025-03-21
UID0073,43,男性,拠点D,あり,426,やや不調,,2025-03-06
UID0074,24,男性,拠点G,あり,274,不調,やりがいを感じる,2025-03-14
UID0075,37,女性,拠点G,あり,1762,やや不調,やりがいを感じる,2025-03-11
UID0076,49,男性,拠点E,あり,690,好調,キャリアアップを目指したい,2025-03-16
UID0077,56,女性,拠点E,あり,680,普通,チームの雰囲気が良い,2025-03-17
UID0078,24,男性,拠点C,あり,856,好調,人間関係に悩んでいる,2025-03-08
UID0079,33,女性,拠点A,あり,477,不調,,2025-03-27
UID0080,20,男性,拠点F,あり,522,普通,やりがいを感じる,2025-03-22
UID0081,40,女性,拠点D,なし,820,やや不調,,2025-03-24
UID0082,38,男性,拠点B,あり,797,不調,,2025-03-02
UID0083,38,男性,拠点A,あり,1971,好調,チームの雰囲気が良い,2025-03-25
UID0084,54,男性,拠点F,あり,1402,普通,,2025-03-27
UID0085,26,男性,拠点B,あり,1829,不調,業務が忙しい,2025-03-24
UID0086,29,男性,拠点C,あり,107,好調,業務が忙しい,2025-03-02
UID0087,31,女性,拠点B,あり,1712,普通,キャリアアップを目指したい,2025-03-14
UID0088,44,女性,拠点F,あり,677,好調,,2025-03-22
UID0089,27,男性,拠点F,あり,159,好調,業務が忙しい,2025-03-12
UID0090,52,男性,拠点A,あり,647,好調,キャリアアップを目指したい,2025-03-25
UID0091,48,女性,拠点C,あり,93,不調,チームの雰囲気が良い,2025-03-18
UID0092,34,男性,拠点F,あり,1663,やや不調,チームの雰囲気が良い,2025-03-10
UID0093,43,男性,拠点B,なし,319,好調,やりがいを感じる,2025-03-01
UID0094,56,女性,拠点B,あり,204,やや不調,評価制度に不満がある,2025-03-24
UID0095,42,男性,拠点C,なし,1773,普通,チームの雰囲気が良い,2025-03-06
UID0096,34,女性,拠点G,あり,1404,好調,,2025-03-15
UID0097,55,男性,拠点A,あり,543,好調,評価制度に不満がある,2025-03-24
UID0098,57,女性,拠点A,あり,1404,普通,業務が忙しい,2025-03-10
UID0099,59,男性,拠点G,あり,952,やや不調,キャリアアップを目指したい,2025-03-23
UID0100,57,男性,拠点B,あり,1684,やや不調,,2025-03-06
UID0101,20,女性,拠点G,あり,1488,不調,キャリアアップを目指したい,2025-03-27
UID0102,43,男性,拠点F,あり,1827,不調,,2025-03-15
UID0103,42,女性,拠点C,あり,389,好調,キャリアアップを目指したい,2025-03-28
UID0104,28,男性,拠点A,あり,1313,好調,業務が忙しい,2025-03-01
UID0105,52,男性,拠点D,あり,859,普通,やりがいを感じる,2025-03-18
UID0106,36,女性,拠点F,あり,779,不調,評価制度に不満がある,2025-03-25
UID0107,57,女性,拠点G,あり,1075,好調,,2025-03-12
UID0108,52,男性,拠点F,あり,1681,普通,,2025-03-05
UID0109,48,男性,拠点G,あり,1188,普通,,2025-03-12
UID0110,22,男性,拠点D,あり,158,やや不調,人間関係に悩んでいる,2025-03-08
UID0111,22,男性,拠点B,なし,769,不調,,2025-03-15
UID0112,22,男性,拠点F,あり,1471,やや不調,キャリアアップを目指したい,2025-03-19
UID0113,54,男性,拠点C,あり,778,好調,,2025-03-09
UID0114,44,男性,拠点B,あり,1703,やや不調,,2025-03-26
UID0115,50,男性,拠点B,なし,930,普通,評価制度に不満がある,2025-03-03
UID0116,52,女性,拠点G,あり,352,やや不調,業務が忙しい,2025-03-22
UID0117,34,女性,拠点D,あり,262,不調,,2025-03-16
UID0118,33,男性,拠点F,あり,75,普通,やりがいを感じる,2025-03-05
UID0119,56,男性,拠点G,あり,110,普通,やりがいを感じる,2025-03-06
UID0120,36,男性,拠点B,なし,1257,好調,キャリアアップを目指したい,2025-03-03
UID0121,33,女性,拠点B,なし,1806,不調,チームの雰囲気が良い,2025-03-08
UID0122,46,男性,拠点D,あり,1601,普通,,2025-03-09
UID0123,30,女性,拠点C,あり,170,普通,,2025-03-13
UID0124,28,男性,拠点E,あり,1790,不調,チームの雰囲気が良い,2025-03-20
UID0125,26,男性,拠点C,なし,1258,好調,,2025-03-17
UID0126,27,男性,拠点C,あり,1877,好調,,2025-03-17
UID0127,46,女性,拠点D,あり,1115,不調,評価制度に不満がある,2025-03-26
UID0128,50,女性,拠点A,あり,1548,好調,,2025-03-05
UID0129,36,女性,拠点D,あり,1789,好調,キャリアアップを目指したい,2025-03-20
UID0130,54,女性,拠点A,あり,1482,好調,,2025-03-04
UID0131,53,男性,拠点C,あり,1438,やや不調,,2025-03-12
UID0132,26,男性,拠点C,あり,549,やや不調,,2025-03-14
UID0133,56,女性,拠点B,あり,1423,不調,評価制度に不満がある,2025-03-14
UID0134,55,女性,拠点G,あり,1166,不調,キャリアアップを目指したい,2025-03-10
UID0135,56,女性,拠点D,あり,1536,普通,業務が忙しい,2025-03-24
UID0136,34,女性,拠点D,あり,361,好調,評価制度に不満がある,2025-03-17
UID0137,45,女性,拠点D,あり,1457,好調,チームの雰囲気が良い,2025-03-13
UID0138,60,男性,拠点D,あり,327,不調,,2025-03-03
UID0139,24,女性,拠点G,あり,1277,好調,,2025-03-13
UID0140,59,女性,拠点F,なし,147,普通,,2025-03-15
UID0141,20,男性,拠点D,あり,1676,やや不調,評価制度に不満がある,2025-03-02
UID0142,58,男性,拠点B,あり,103,やや不調,評価制度に不満がある,2025-03-21
UID0143,20,男性,拠点E,なし,1626,不調,人間関係に悩んでいる,2025-03-22
UID0144,45,女性,拠点B,あり,61,好調,業務が忙しい,2025-03-18
UID0145,38,女性,拠点A,なし,596,普通,評価制度に不満がある,2025-03-15
UID0146,45,男性,拠点A,あり,1066,好調,,2025-03-03
UID0147,52,女性,拠点A,なし,1674,やや不調,,2025-03-27
UID0148,56,女性,拠点F,あり,802,不調,評価制度に不満がある,2025-03-25
UID0149,41,女性,拠点F,あり,1231,好調,,2025-03-04
UID0150,36,男性,拠点C,あり,481,普通,人間関係に悩んでいる,2025-03-14
UID0151,42,男性,拠点F,あり,538,やや不調,業務が忙しい,2025-03-13
UID0152,41,男性,拠点B,なし,1005,やや不調,人間関係に悩んでいる,2025-03-07
UID0153,56,女性,拠点G,なし,1429,普通,,2025-03-24
UID0154,32,男性,拠点F,あり,573,普通,評価制度に不満がある,2025-03-07
UID0155,35,女性,拠点G,あり,275,好調,,2025-03-20
UID0156,20,男性,拠点D,あり,1301,やや不調,,2025-03-19
UID0157,37,女性,拠点G,なし,1905,やや不調,,2025-03-08
UID0158,56,男性,拠点E,あり,896,不調,,2025-03-02
UID0159,52,女性,拠点C,なし,1619,普通,,2025-03-04
UID0160,53,女性,拠点A,あり,54,普通,,2025-03-19
UID0161,26,女性,拠点A,あり,561,普通,,2025-03-09
UID0162,35,女性,拠点C,なし,732,やや不調,チームの雰囲気が良い,2025-03-16
UID0163,47,男性,拠点C,あり,792,やや不調,,2025-03-09
UID0164,48,男性,拠点B,あり,1209,普通,業務が忙しい,2025-03-24
UID0165,37,男性,拠点B,あり,810,普通,チームの雰囲気が良い,2025-03-26
UID0166,29,女性,拠点D,あり,893,不調,チームの雰囲気が良い,2025-03-28
UID0167,60,女性,拠点D,あり,543,好調,,2025-03-04
UID0168,30,男性,拠点G,あり,1005,好調,,2025-03-24
UID0169,41,女性,拠点A,あり,1171,やや不調,人間関係に悩んでいる,2025-03-01
UID0170,46,男性,拠点A,なし,1270,普通,,2025-03-06
UID0171,38,女性,拠点A,あり,1028,不調,業務が忙しい,2025-03-13
UID0172,59,女性,拠点C,あり,326,普通,人間関係に悩んでいる,2025-03-14
UID0173,60,女性,拠点D,なし,192,普通,人間関係に悩んでいる,2025-03-08
UID0174,40,女性,拠点F,あり,577,不調,キャリアアップを目指したい,2025-03-15
UID0175,43,女性,拠点C,あり,1779,好調,チームの雰囲気が良い,2025-03-24
UID0176,35,女性,拠点F,あり,193,普通,チームの雰囲気が良い,2025-03-13
UID0177,26,男性,拠点E,なし,999,好調,やりがいを感じる,2025-03-25
UID0178,45,男性,拠点E,あり,348,好調,,2025-03-10
UID0179,34,男性,拠点F,あり,1313,普通,チームの雰囲気が良い,2025-03-17
UID0180,30,男性,拠点E,あり,1792,やや不調,,2025-03-15
UID0181,54,女性,拠点B,あり,1972,普通,,2025-03-21
UID0182,60,女性,拠点B,あり,1123,やや不調,人間関係に悩んでいる,2025-03-16
UID0183,54,男性,拠点D,あり,660,やや不調,,2025-03-09
UID0184,29,女性,拠点E,あり,1699,普通,人間関係に悩んでいる,2025-03-10
UID0185,50,男性,拠点F,なし,1969,不調,キャリアアップを目指したい,2025-03-01
UID0186,47,女性,拠点B,あり,44,やや不調,評価制度に不満がある,2025-03-14
UID0187,55,女性,拠点C,あり,1494,不調,,2025-03-08
UID0188,36,男性,拠点C,あり,1088,やや不調,キャリアアップを目指したい,2025-03-21
UID0189,54,女性,拠点C,あり,170,普通,チームの雰囲気が良い,2025-03-10
UID0190,27,女性,拠点B,あり,1464,不調,評価制度に不満がある,2025-03-11
UID0191,21,男性,拠点E,なし,75,普通,業務が忙しい,2025-03-10
UID0192,37,男性,拠点F,あり,46,普通,業務が忙しい,2025-03-05
UID0193,20,女性,拠点G,あり,668,不調,人間関係に悩んでいる,2025-03-15
UID0194,22,女性,拠点E,あり,1978,普通,やりがいを感じる,2025-03-09
UID0195,45,男性,拠点B,あり,423,やや不調,,2025-03-27
UID0196,20,男性,拠点D,あり,818,不調,評価制度に不満がある,2025-03-24
UID0197,22,男性,拠点C,あり,222,普通,,2025-03-13
UID0198,39,女性,拠点G,あり,116,好調,キャリアアップを目指したい,2025-03-16
UID0199,60,女性,拠点G,あり,136,普通,業務が忙しい,2025-03-08
UID0200,60,女性,拠点A,あり,1656,やや不調,業務が忙しい,2025-03-13
UID0201,35,男性,拠点E,あり,1444,不調,チームの雰囲気が良い,2025-03-12
UID0202,25,男性,拠点G,あり,1434,やや不調,やりがいを感じる,2025-03-02
UID0203,42,男性,拠点F,あり,249,普通,,2025-03-08
UID0204,40,女性,拠点D,なし,1531,普通,やりがいを感じる,2025-03-23
UID0205,44,女性,拠点F,あり,1870,好調,,2025-03-23
UID0206,48,女性,拠点B,あり,418,普通,,2025-03-12
UID0207,40,女性,拠点A,なし,1256,普通,業務が忙しい,2025-03-17
UID0208,29,女性,拠点A,あり,1139,やや不調,,2025-03-01
UID0209,60,女性,拠点F,あり,68,やや不調,評価制度に不満がある,2025-03-11
UID0210,24,女性,拠点G,あり,1048,普通,キャリアアップを目指したい,2025-03-11
UID0211,46,女性,拠点E,あり,1379,好調,やりがいを感じる,2025-03-27
UID0212,28,男性,拠点D,あり,249,不調,評価制度に不満がある,2025-03-04
UID0213,22,女性,拠点F,あり,1307,やや不調,やりがいを感じる,2025-03-12
UID0214,34,男性,拠点E,なし,457,不調,業務が忙しい,2025-03-15
UID0215,60,男性,拠点A,あり,1951,不調,人間関係に悩んでいる,2025-03-26
UID0216,23,女性,拠点B,あり,174,やや不調,業務が忙しい,2025-03-07
UID0217,53,男性,拠点E,あり,1118,不調,評価制度に不満がある,2025-03-07
UID0218,53,男性,拠点B,あり,396,不調,業務が忙しい,2025-03-25
UID0219,60,女性,拠点F,あり,1392,不調,業務が忙しい,2025-03-06
UID0220,31,女性,拠点B,あり,353,不調,人間関係に悩んでいる,2025-03-11
UID0221,55,女性,拠点D,あり,1595,不調,人間関係に悩んでいる,2025-03-20
UID0222,35,男性,拠点C,あり,1926,やや不調,人間関係に悩んでいる,2025-03-15
UID0223,48,女性,拠点E,あり,612,好調,,2025-03-05
UID0224,39,男性,拠点A,なし,469,やや不調,やりがいを感じる,2025-03-25
UID0225,37,男性,拠点E,あり,758,普通,チームの雰囲気が良い,2025-03-09
UID0226,43,男性,拠点G,あり,645,好調,,2025-03-19
UID0227,33,男性,拠点F,あり,1018,普通,,2025-03-27
UID0228,56,男性,拠点B,あり,106,不調,業務が忙しい,2025-03-25
UID0229,23,女性,拠点A,なし,919,不調,業務が忙しい,2025-03-28
UID0230,34,男性,拠点F,あり,813,好調,キャリアアップを目指したい,2025-03-17
UID0231,22,女性,拠点B,あり,699,普通,チームの雰囲気が良い,2025-03-02
UID0232,45,女性,拠点D,あり,1063,好調,評価制度に不満がある,2025-03-14
UID0233,38,女性,拠点G,あり,199,不調,やりがいを感じる,2025-03-18
UID0234,45,女性,拠点E,あり,919,普通,チームの雰囲気が良い,2025-03-16
UID0235,55,男性,拠点C,あり,1200,普通,,2025-03-20
UID0236,53,男性,拠点G,あり,1620,不調,人間関係に悩んでいる,2025-03-22
UID0237,56,男性,拠点E,あり,897,やや不調,人間関係に悩んでいる,2025-03-07
UID0238,40,女性,拠点B,あり,1606,やや不調,チームの雰囲気が良い,2025-03-12
UID0239,59,女性,拠点B,あり,121,普通,評価制度に不満がある,2025-03-22
UID0240,43,男性,拠点D,あり,205,好調,やりがいを感じる,2025-03-08
UID0241,59,男性,拠点D,あり,619,好調,人間関係に悩んでいる,2025-03-23
UID0242,27,女性,拠点C,あり,709,普通,,2025-03-07
UID0243,33,女性,拠点B,あり,1524,普通,やりがいを感じる,2025-03-13
UID0244,57,男性,拠点A,あり,611,普通,キャリアアップを目指したい,2025-03-02
UID0245,49,男性,拠点E,あり,585,やや不調,業務が忙しい,2025-03-01
UID0246,38,女性,拠点G,なし,1071,好調,人間関係に悩んでいる,2025-03-16
UID0247,58,男性,拠点G,あり,967,好調,やりがいを感じる,2025-03-08
UID0248,53,女性,拠点A,あり,1554,普通,やりがいを感じる,2025-03-12
UID0249,42,女性,拠点F,あり,1056,やや不調,やりがいを感じる,2025-03-21
UID0250,36,女性,拠点D,なし,1963,やや不調,評価制度に不満がある,2025-03-05
UID0251,41,女性,拠点F,あり,1524,不調,,2025-03-22
UID0252,59,男性,拠点C,あり,342,不調,キャリアアップを目指したい,2025-03-20
UID0253,41,女性,拠点B,あり,1366,普通,,2025-03-22
UID0254,32,男性,拠点A,あり,1870,普通,,2025-03-25
UID0255,29,男性,拠点A,あり,1121,好調,チームの雰囲気が良い,2025-03-11
UID0256,29,男性,拠点D,あり,877,不調,キャリアアップを目指したい,2025-03-15
UID0257,60,女性,拠点G,あり,248,普通,チームの雰囲気が良い,2025-03-01
UID0258,59,女性,拠点B,あり,502,普通,評価制度に不満がある,2025-03-22
UID0259,21,女性,拠点E,あり,1006,普通,,2025-03-28
UID0260,58,女性,拠点F,あり,406,不調,,2025-03-16
UID0261,28,男性,拠点G,あり,866,好調,キャリアアップを目指したい,2025-03-14
UID0262,34,男性,拠点D,あり,392,不調,,2025-03-23
UID0263,40,女性,拠点G,あり,1619,好調,,2025-03-24
UID0264,40,女性,拠点B,なし,1201,好調,,2025-03-04
UID0265,48,女性,拠点D,なし,1827,普通,,2025-03-18
UID0266,45,男性,拠点B,あり,1597,好調,評価制度に不満がある,2025-03-10
UID0267,48,女性,拠点A,あり,615,不調,チームの雰囲気が良い,2025-03-14
UID0268,38,男性,拠点F,あり,321,不調,,2025-03-03
UID0269,52,男性,拠点G,あり,1950,普通,,2025-03-14
UID0270,40,女性,拠点E,あり,1238,普通,,2025-03-03
UID0271,36,女性,拠点F,あり,1487,普通,業務が忙しい,2025-03-03
UID0272,27,女性,拠点F,あり,1102,不調,,2025-03-20
UID0273,30,女性,拠点B,あり,1603,普通,人間関係に悩んでいる,2025-03-19
UID0274,29,男性,拠点D,あり,1605,好調,,2025-03-10
UID0275,39,女性,拠点A,あり,270,普通,評価制度に不満がある,2025-03-01
UID0276,59,女性,拠点E,あり,1781,不調,,2025-03-26
UID0277,20,女性,拠点G,あり,1380,不調,,2025-03-14
UID0278,48,男性,拠点B,あり,531,やや不調,,2025-03-27
UID0279,33,男性,拠点G,あり,1367,やや不調,やりがいを感じる,2025-03-05
UID0280,22,女性,拠点A,なし,130,好調,,2025-03-06
UID0281,30,女性,拠点B,あり,1463,普通,,2025-03-24
UID0282,57,女性,拠点E,あり,642,やや不調,人間関係に悩んでいる,2025-03-13
UID0283,24,女性,拠点D,あり,629,不調,チームの雰囲気が良い,2025-03-04
UID0284,37,女性,拠点B,あり,459,普通,やりがいを感じる,2025-03-04
UID0285,56,男性,拠点C,あり,1268,やや不調,,2025-03-20
UID0286,40,女性,拠点B,あり,1306,やや不調,チームの雰囲気が良い,2025-03-20
UID0287,56,女性,拠点B,あり,1049,不調,チームの雰囲気が良い,2025-03-20
UID0288,34,女性,拠点G,あり,79,不調,業務が忙しい,2025-03-24
UID0289,33,女性,拠点C,あり,746,普通,やりがいを感じる,2025-03-21
UID0290,32,女性,拠点A,あり,660,やや不調,,2025-03-18
UID0291,40,男性,拠点E,あり,729,不調,やりがいを感じる,2025-03-27
UID0292,31,男性,拠点A,あり,1918,不調,,2025-03-26
UID0293,22,男性,拠点C,あり,973,やや不調,,2025-03-26
UID0294,46,男性,拠点D,あり,1187,やや不調,,2025-03-18
UID0295,21,男性,拠点B,あり,1667,やや不調,業務が忙しい,2025-03-05
UID0296,37,男性,拠点A,なし,1313,普通,,2025-03-06
UID0297,58,男性,拠点D,あり,661,やや不調,やりがいを感じる,2025-03-09
UID0298,46,男性,拠点C,なし,791,不調,キャリアアップを目指したい,2025-03-07
UID0299,53,女性,拠点G,あり,1637,好調,評価制度に不満がある,2025-03-03
UID0300,48,男性,拠点D,あり,1054,普通,評価制度に不満がある,2025-03-11
UID0301,50,女性,拠点D,あり,1605,好調,,2025-03-22
UID0302,28,男性,拠点F,あり,823,好調,やりがいを感じる,2025-03-10
UID0303,22,男性,拠点A,あり,124,好調,,2025-03-25
UID0304,39,男性,拠点B,あり,1338,普通,人間関係に悩んでいる,2025-03-07
UID0305,32,女性,拠点A,あり,1612,不調,業務が忙しい,2025-03-09
UID0306,29,男性,拠点A,あり,1992,好調,評価制度に不満がある,2025-03-18
UID0307,42,女性,拠点A,あり,1472,やや不調,評価制度に不満がある,2025-03-06
UID0308,24,女性,拠点B,なし,1137,不調,やりがいを感じる,2025-03-05
UID0309,21,女性,拠点F,あり,815,好調,業務が忙しい,2025-03-14
UID0310,45,男性,拠点F,あり,1243,不調,人間関係に悩んでいる,2025-03-10
UID0311,41,男性,拠点F,あり,1687,好調,,2025-03-19
UID0312,28,男性,拠点D,あり,1460,不調,業務が忙しい,2025-03-15
UID0313,39,女性,拠点C,あり,488,普通,キャリアアップを目指したい,2025-03-12
UID0314,45,男性,拠点F,なし,706,やや不調,,2025-03-16
UID0315,21,男性,拠点C,あり,1010,不調,チームの雰囲気が良い,2025-03-10
UID0316,42,男性,拠点B,あり,1704,好調,人間関係に悩んでいる,2025-03-18
UID0317,24,女性,拠点B,あり,1239,不調,評価制度に不満がある,2025-03-20
UID0318,35,男性,拠点C,あり,727,普通,,2025-03-26
UID0319,47,女性,拠点B,あり,384,好調,,2025-03-04
UID0320,57,女性,拠点A,あり,1713,不調,チームの雰囲気が良い,2025-03-10
UID0321,45,男性,拠点B,あり,1697,不調,人間関係に悩んでいる,2025-03-16
UID0322,23,男性,拠点G,あり,1847,好調,チームの雰囲気が良い,2025-03-22
UID0323,29,女性,拠点B,あり,1290,不調,評価制度に不満がある,2025-03-07
UID0324,40,女性,拠点B,あり,1421,やや不調,,2025-03-23
UID0325,42,男性,拠点B,あり,1075,不調,チームの雰囲気が良い,2025-03-28
UID0326,38,男性,拠点A,なし,138,好調,,2025-03-27
UID0327,42,男性,拠点D,あり,93,普通,,2025-03-23
UID0328,57,女性,拠点F,あり,813,不調,,2025-03-14
UID0329,54,男性,拠点F,あり,314,普通,,2025-03-13
UID0330,43,女性,拠点G,あり,1817,普通,チームの雰囲気が良い,2025-03-01
UID0331,24,男性,拠点G,あり,1026,不調,チームの雰囲気が良い,2025-03-03
UID0332,28,女性,拠点D,あり,1645,不調,チームの雰囲気が良い,2025-03-15
UID0333,52,女性,拠点B,あり,817,やや不調,評価制度に不満がある,2025-03-06
UID0334,47,男性,拠点B,あり,1526,普通,,2025-03-09
UID0335,46,女性,拠点E,なし,1193,不調,人間関係に悩んでいる,2025-03-04
UID0336,57,女性,拠点F,あり,1525,やや不調,,2025-03-17
UID0337,25,男性,拠点G,あり,1548,好調,,2025-03-26
UID0338,57,女性,拠点B,あり,733,好調,,2025-03-15
UID0339,52,女性,拠点B,あり,892,やや不調,キャリアアップを目指したい,2025-03-10
UID0340,30,男性,拠点F,なし,1564,やや不調,キャリアアップを目指したい,2025-03-02
UID0341,60,女性,拠点B,あり,135,やや不調,やりがいを感じる,2025-03-10
UID0342,51,男性,拠点G,あり,1773,やや不調,キャリアアップを目指したい,2025-03-05
UID0343,59,女性,拠点A,なし,59,好調,チームの雰囲気が良い,2025-03-19
UID0344,29,女性,拠点A,あり,565,普通,,2025-03-06
UID0345,53,男性,拠点A,なし,327,普通,,2025-03-25
UID0346,46,女性,拠点G,あり,1516,普通,評価制度に不満がある,2025-03-19
UID0347,42,男性,拠点F,あり,1708,好調,やりがいを感じる,2025-03-06
UID0348,49,女性,拠点C,あり,1558,普通,,2025-03-22
UID0349,44,女性,拠点A,あり,1812,不調,やりがいを感じる,2025-03-10
UID0350,48,女性,拠点F,あり,1115,好調,業務が忙しい,2025-03-18
UID0351,60,女性,拠点D,あり,1910,やや不調,人間関係に悩んでいる,2025-03-09
UID0352,37,男性,拠点A,あり,831,不調,評価制度に不満がある,2025-03-24
UID0353,57,男性,拠点B,あり,1443,普通,人間関係に悩んでいる,2025-03-18
UID0354,20,男性,拠点D,あり,872,好調,,2025-03-04
UID0355,48,女性,拠点G,あり,545,普通,やりがいを感じる,2025-03-01
UID0356,59,男性,拠点E,なし,1374,普通,業務が忙しい,2025-03-23
UID0357,27,男性,拠点D,あり,799,普通,業務が忙しい,2025-03-23
UID0358,31,女性,拠点A,あり,1947,好調,,2025-03-09
UID0359,47,女性,拠点A,あり,181,やや不調,やりがいを感じる,2025-03-13
UID0360,44,女性,拠点E,あり,1694,やや不調,チームの雰囲気が良い,2025-03-15
UID0361,24,女性,拠点G,あり,395,不調,業務が忙しい,2025-03-05
UID0362,54,女性,拠点G,あり,247,不調,キャリアアップを目指したい,2025-03-04
UID0363,22,男性,拠点E,あり,543,不調,やりがいを感じる,2025-03-16
UID0364,29,男性,拠点E,あり,575,普通,人間関係に悩んでいる,2025-03-13
UID0365,56,男性,拠点B,あり,1608,不調,,2025-03-14
